Open,High,Low,Close,Volume,Dividends,Stock Splits
330.25,333.6,327.32,333.46,23913600,0,0
332.14,345.61,332.01,343.99,36928100,0,0
347.9,354.77,346.09,352.84,41662900,0,0
349.31,351.06,335.48,335.9,50415600,0,0
344.72,347.8,334.22,338.8,50001500,0,0
333.25,345.68,332.58,342.99,34702200,0,0
351.46,353.2,344.72,352.08,41357200,0,0
355.15,355.4,351.09,351.59,28532000,0,0
351.41,353.45,349.22,351.73,24205100,0,0
354.64,356.56,345.15,349.72,66119000,0,0
351.34,359.46,351.15,358.87,33861300,0,0
364.0,372.38,362.27,366.53,53038900,0,0
365.0,368.79,358.52,360.06,48155800,0,0
360.7,365.0,357.57,364.84,34380600,0,0
364.41,365.32,353.02,353.63,51314200,0,0
353.25,362.17,351.28,361.78,32661500,0,0
360.08,365.98,360.0,364.8,35055800,0,0
365.12,367.36,363.91,364.11,27684300,0,0
367.85,370.47,363.64,364.11,28510400,0,0
370.0,375.78,369.87,373.85,29591100,0,0
375.41,378.62,372.52,372.59,24491662,0,0
