,date,name,href
0,"Yesterday, 4:11 PM",Apple shifts retail staff to remote work,https://seekingalpha.com/news/3590765-apple-shifts-retail-staff-to-remote-work?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:1
1,"Yesterday, 3:03 PM",Market pares gains as momentum stocks lose some steam,https://seekingalpha.com/news/3590738-market-pares-gains-momentum-stocks-lose-steam?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:2
2,"Yesterday, 10:42 AM",Apple hits new record after Streethigh target,https://seekingalpha.com/news/3590616-apple-hits-new-record-after-street-high-target?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:3
3,"Yesterday, 9:36 AM",Apple price target raised on iPhone tradein programs,https://seekingalpha.com/news/3590574-apple-price-target-raised-on-iphone-trade-in-programs?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:4
4,"Yesterday, 9:00 AM",Megacaps rejoin the party with stocks set for broadbased rally,https://seekingalpha.com/news/3590550-megacaps-rejoin-party-stocks-set-for-broad-based-rally?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:5
5,"Yesterday, 7:23 AM",Apple increasing Q3 MacBook orders by 20  DigiTimes,https://seekingalpha.com/news/3590485-apple-increasing-q3-macbook-orders-20-digitimes?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:6
6,"Sat, Jul. 11",Deconstruct FAANG stocks and the N should be replaced with another,https://seekingalpha.com/news/3590297-deconstruct-faang-stocks-and-n-should-be-replaced-another?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:Archived|line:7
7,"Fri, Jul. 10",Apple Foxconn producing AR lenses  The Information,https://seekingalpha.com/news/3590242-apple-foxconn-producing-ar-lenses-information?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:8
8,"Fri, Jul. 10",MacBook Pro with inhouse chips coming in Q4  analyst,https://seekingalpha.com/news/3590212-macbook-pro-in-house-chips-coming-in-q4-analyst?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:9
9,"Thu, Jul. 09",HP Lenovo top Q2 global PC shipments,https://seekingalpha.com/news/3590068-hp-lenovo-top-q2-global-pc-shipments?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:10
10,"Thu, Jul. 09",These 2020 doubledigit tech gainers may have 20 to go Wedbush says,https://seekingalpha.com/news/3589929-2020-double-digit-tech-gainers-may-20-to-go-wedbush-says?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:Archived|line:11
11,"Wed, Jul. 08",Apple roundup repair program expands US stores lead closures,https://seekingalpha.com/news/3589613-apple-roundup-repair-program-expands-u-s-stores-lead-closures?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:12
12,"Wed, Jul. 08",Apple price target raised despite rally nervousness,https://seekingalpha.com/news/3589478-apple-price-target-raised-despite-rally-nervousness?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:13
13,"Wed, Jul. 08",Apples Irish tax appeal reaching decision next week,https://seekingalpha.com/news/3589448-apples-irish-tax-appeal-reaching-decision-next-week?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:14
14,"Wed, Jul. 08",Apple makes up 43 of Berkshire Hathaways portfolio,https://seekingalpha.com/news/3589339-apple-makes-up-43-of-berkshire-hathaways-portfolio?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:15
15,"Tue, Jul. 07",Apples iPhone 12 will fall short of supercycle  Nomura,https://seekingalpha.com/news/3589239-apples-iphone-12-will-fall-short-of-supercycle-nomura?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:16
16,"Tue, Jul. 07",Apple price target raised despite forecast concern,https://seekingalpha.com/news/3589113-apple-price-target-raised-despite-forecast-concern?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:17
17,"Tue, Jul. 07",Apple sticking with OLEDs for 5G iPhones  Nikkei,https://seekingalpha.com/news/3589021-apple-sticking-oleds-for-5g-iphones-nikkei?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:18
18,"Fri, Jul. 03",Twitter Facebook to face free speech test in Hong Kong,https://seekingalpha.com/news/3588543-twitter-facebook-to-face-free-speech-test-in-hong-kong?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:19
19,"Thu, Jul. 02",Big Tech CEOs set to testify before Congress,https://seekingalpha.com/news/3588160-big-tech-ceos-set-to-testify-congress?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:20
