date,name,href
"Thu, Jul. 02",Musk tweaks SEC again with Tesla shares cruising,https://seekingalpha.com/news/3588459-musk-tweaks-sec-again-tesla-shares-cruising?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:1
"Thu, Jul. 02",Tesla revamps plan for Giga Berlin,https://seekingalpha.com/news/3588423-tesla-revamps-plan-for-giga-berlin?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:2
"Thu, Jul. 02",Tesla Q2 deliveries top 90K vs. 83K estimate; shares up 10%,https://seekingalpha.com/news/3588220-tesla-q2-deliveries-top-90k-vs-83k-estimate-shares-up-10?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:3
"Wed, Jul. 01",Some clean energy ETFs shine in brutal first half for fossil fuels,https://seekingalpha.com/news/3587797-clean-energy-etfs-shine-in-brutal-first-half-for-fossil-fuels?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:4
"Wed, Jul. 01",Tesla rallies more to become the most valuable automaker,https://seekingalpha.com/news/3587760-tesla-rallies-to-become-valuable-automaker?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:5
"Tue, Jun. 30","Tesla investors frontrun deliveries report, potential S&P 500 inclusion",https://seekingalpha.com/news/3587442-tesla-investors-frontrun-deliveries-report-potential-s-and-p-500-inclusion?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:6
"Tue, Jun. 30",Germany called a bright spot for Tesla,https://seekingalpha.com/news/3587359-germany-called-bright-spot-for-tesla?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:7
"Tue, Jun. 30",'Breaking even is looking super tight' - Musk,https://seekingalpha.com/news/3587191-breaking-even-is-looking-super-tight-musk?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:8
"Mon, Jun. 29",EV pickups look for mainstream appeal,https://seekingalpha.com/news/3587122-ev-pickups-look-for-mainstream-appeal?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:9
"Mon, Jun. 29",EV names lead auto sector higher,https://seekingalpha.com/news/3586938-ev-names-lead-auto-sector-higher?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:10
"Mon, Jun. 29",Tesla seen topping Q2 deliveries expectations,https://seekingalpha.com/news/3586805-tesla-seen-topping-q2-deliveries-expectations?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:11
"Sun, Jun. 28",Sector Watch: Can Tesla deliveries lead autos as incentives wane?,https://seekingalpha.com/news/3586733-sector-watch-can-tesla-deliveries-lead-autos-incentives-wane?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:12
"Fri, Jun. 26",Bezos a copycat - Elon Musk comments on Amazon's Zoox purchase,https://seekingalpha.com/news/3586613-bezos-copycat-elon-musk-comments-on-amazons-zoox-purchase?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:13
"Fri, Jun. 26",Amazon drives into autonomous vehicle chase with Zoox acquisition,https://seekingalpha.com/news/3586522-amazon-drives-autonomous-vehicle-chase-zoox-acquisition?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:14
