date,name,href,article,comments
"Today, 8:14 AM",China auto sales drop in June,https://seekingalpha.com/news/3589417-china-auto-sales-drop-in-june?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:1,"In signs of an uneven recovery in China, passenger car sales fell 6.5% Y/Y in June to 1.68M units after posting an increase in May, according to the China Passenger Car Association. The month was a difficult comparison because sales jumped in June of last year as dealers offered discounts to push models that risked becoming redundant with new emission standards taking effect shortly.
SUV sales were up 1.2% in June to 766K units. Sales of new energy vehicles (battery electric vehicles, plug-in hybrid and hydrogen fuel cell vehicles) fell 35% to 85.6K.
Tesla (NASDAQ:TSLA) accounted for 23% of all pure electric sales during the month with a tally of 14,954 Model 3s sold. Nissan (OTCPK:NSANY) gained market share during the month with a 4.5% increase and Geely Automobile (OTCPK:GELYF) posted strong growth of 21.0%.
Related manufacturers: Nio (NYSE:NIO), Great Wall Motor (OTCPK:GWLLF, OTCPK:GWLLY), BYD (OTCPK:BYDDY, OTCPK:BYDDF), Kandi Technologies (NASDAQ:KNDI), Volkswagen (OTCPK:VWAGY), Daimler (OTCPK:DDAIF), Ford (NYSE:F), Guangzhou Automobile Group (OTCPK:GNZUF), Toyota (NYSE:TM), Nissan (OTCPK:NSANY), Honda (NYSE:HMC), General Motors (NYSE:GM), BAIC (OTC:BCCMY), Zotye, state-owned SAIC Motor and Dongfeng Motor (OTCPK:DNFGY).
Now read: How R&D Expenses Can Help You Pick Outperforming Stocks »",error
"Yesterday, 3:48 PM",Sunrun deal for Vivint to top Tesla as rooftop solar juggernaut,https://seekingalpha.com/news/3589237-sunrun-deal-for-vivint-to-top-tesla-rooftop-solar-juggernaut?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:2,"Sunrun (RUN +23.9%) surges to all-time highs after it agreed to acquire Vivint Solar (VSLR +38.4%) in an all-stock deal valued at $3.2B including debt.
The combination forms a company that would overtake Tesla's (TSLA +1.4%) residential solar business in scale: Last year Tesla accounted for 14% of all U.S. residential solar installations, while Sunrun and Vivint together accounted for 16%, according to UBS Research.
The immediate cost synergy the companies announced seems underwhelming at $90M/year, but the hope is that their larger scale eventually will help Sunrun tackle ""soft costs"" such as labor, permits and customer acquisition, writes Jinjoo Lee for WSJ's Heard On The Street.
Even as hardware costs for residential solar systems have declined over the years, the companies' overhead has remained flat, so soft costs accounted for 64% of residential solar overall costs as of Q1, up from 52% in 2014, according to Wood Mackenzie and the Solar Energy Industries Association.
See all stocks on the move »",error
"Yesterday, 10:21 AM",Tesla bears capitulate for the near term,https://seekingalpha.com/news/3589120-tesla-bears-capitulate-for-near-term?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:3,"The bear camp on Tesla (TSLA +0.4%) is cracking a bit under the pressure of a share price rally of 146% over 90 days.
""While we still believe TSLA is fundamentally overvalued, we see nothing to prevent the shares moving higher in the coming weeks,"" notes Barclays analyst Brian Johnson. He thinks the negative data points may not arrive until Q4.
""Our long-term concerns remain, but are not seen as tangible or near-term to stop the rally,"" chimes in Morgan Stanley's Adam Jonas. He says the firm is struggling to play catch-up, although the MS base case price target was raised to $740 and the bull case PT sent up to $2,070. ""Our concerns around sustainability of profit in China, poor auto industry fundamentals, and what we believe to be inevitable competition in EVs and AVs from a host of well capitalized tech firms (AMZN, AAPL, GOOGL, etc.) are just not seen by the market as a big enough part of the narrative for the remainder of 2020,"" sums up Jonas on the great Tesla re-rating.
Meanwhile, Automotive News is also entering the fray, with an editorial today warning that ""overexcited"" fans should cool down a little and strap in for the long game.
Shares of Tesla printed a new high of $1,429.50 earlier in today's session.
The next big event for Tesla is Q2 earnings. Here are how the consensus estimate stacks up for that quarter and the following.
See all stocks on the move »",error
"Mon, Jul. 06",Tesla market cap crown brings focus on valuation,https://seekingalpha.com/news/3588818-tesla-market-cap-crown-brings-focus-on-valuation?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:4,"Tesla shares got a lot of hype last week as the company passed Toyota Motor as the most valuable automaker.
Tesla (TSLA, +10%) now boasts a market capitalization of a little more than $224 billion. Toyota (TM, +0.1%) has a market cap of around $205 billion if you count the $30 billion it holds of its own shares (treasury shares) because of its buyback program. That’s about 14% of the shares outstanding, according to Bloomberg. Without those shares, Toyota’s market cap is about $174 billion, eclipsed by Tesla back in the middle of June.
But if anyone were looking to buy either company, Toyota would cost more. Its enterprise value (market cap plus debt minus cash and equivalents), also considered the takeover price, is about $337.5 billion. That’s due to Toyota’s net debt of more than $157 billion. Tesla’s enterprise value is about $232.7 billion, with just a little more than $7.1 billion in debt.
With shares up nearly 200% year to date, Tesla gets a failing quant grade on just about every valuation metric relative to the Consumer Discretionary sector (it gets a C- on forward non-GAAP price-to-earnings-growth and a D- on enterprise value vs. forward EBITDA). Toyota gets a B- overall and an A on price to forward cash flow and price to trailing GAAP earnings. Its shares are down about 10% for the year so far.
On momentum, Tesla shines with an overall rating of A+. Over the last month the stock is up more than 37%, compared with a 1.6% rise in the S&P. Toyota, which gets an overall C for momentum, is down slightly over the last month.
That momentum in Tesla is visible today as shares are up more than 10% following a price target boost from J.P. Morgan. But the raise in the price target to $295 from $275, based on the improved second-quarter deliveries of 90,650, came with a caution as J.P. Morgan kept its Underweight rating on the stock.
“Although both technology and execution risk seem substantially less than was once feared, expansion into higher volume segments with lower price points seems fraught with greater risk relative to demand, execution, and competition,” analysts wrote in a note today. “Meanwhile, valuation appears to be pricing in upside related to expansion into mass-market segments well beyond our volume forecasts for the Model 3.”
But J.P. Morgan also did highlight upside risks to its valuation of the company. 
Those include: “(1) The demand for Tesla vehicles could rise materially beyond our expectations; (2) gasoline prices could increase or government penalties and regulations on rival internal combustion engine vehicles could increase, which could drive adoption toward electric vehicles, benefitting Tesla; and (3) better than expected execution on operating targets.”
The high valuation of Tesla vs. Toyota comes down to the view of the future of the auto industry. Shares are still attractive if you believe that electric will become the standard sooner rather than later, with Tesla sitting in pole position for EVs.
Reuters noted today that petroleum consumption has been slowing since the early 1970s and that trend looks set to continue through the 2020s and the 2030s. But at present there is no shortage of crude, even with OPEC limiting production and U.S. shale players on the sideline until prices improve. The decline in air travel due to the pandemic could keep gasoline prices depressed as refiners shift the mix in products away from jet fuel.
Tesla vs. Toyota year to date",error
"Mon, Jul. 06",Tesla 6 after JMP hikes price target to $1500,https://seekingalpha.com/news/3588673-teslaplus-6-after-jmp-hikes-price-target-to-1500?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:5,"JMP Securities thinks sales volume at Tesla (NASDAQ:TSLA) will catch up with the expectations implied by the current share price as it points to the impressive performance during the pandemic.
""If the company can manage 90K units during an extraordinarily challenging quarter, there is no reason that TSLA cannot be shipping 130K to 140K units a quarter by the end of the year in our opinion,"" advises the firm.
Looking further ahead, JMP thinks Tesla is on track to record revenue of $100B by 2025, which is quite a step up from the last few years.
JMP assigns a price target of $1,500 to Tesla.
Shares of Tesla are up 6.19% premarket to $1,283.40 as they give every indication that the 2020 rally will extend today.
See all stocks on the move »",error
"Mon, Jul. 06",Musk teases Tesla shortsellers with Short Shorts,https://seekingalpha.com/news/3588579-musk-teases-tesla-shortsellers-short-shorts?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:6,"Elon Musk has already offered to send a pair of short shorts to David Einhorn, who has a big short position on Tesla (NASDAQ:TSLA), and announced a similar shipment destined for the SEC, but the latest product offering comes as Tesla's stock tripled this year to $1,208/share.
A pair of the limited edition red satin shorts are now being sold at the Tesla Shop for $69.420, the last three digits an apparent reference to Musk's infamous tweet in 2018 that he was considering taking Tesla private for $420 per share.
As of mid-June, more than 15M shares of TSLA stock were being sold short and are currently valued at more than $18B, making Tesla by far the most shorted company by valuation on the Nasdaq.
'Short Shorts' could also hint at second quarter results. Tesla's lack of profitability has been an argument of Tesla short sellers for years and the company would not likely release this kind of item at the conclusion of an unprofitable quarter.
Turning a profit for Q2 would see the company eligible for inclusion on the S&P 500, which requires a minimum of four consecutive quarters of profitability.
""Huge numbers and we're the only sell-side bull with upside. We're contrarians?!? That tells us there's still more to go,"" writes Elazar Advisors in a Seeking Alpha article, Tesla: More To Go, And A Look At The Stock Market - Great News, Bad Action.
Now read: Tesla: More To Go, And A Look At The Stock Market - Great News, Bad Action (Video) »",error
"Thu, Jul. 02",Musk tweaks SEC again with Tesla shares cruising,https://seekingalpha.com/news/3588459-musk-tweaks-sec-again-tesla-shares-cruising?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:7,"Tesla (NASDAQ:TSLA) shares have closed up 8% after its bullish deliveries report (topping 90,000 vehicles vs. estimates for 83,000) this morning.
Shares hit a fresh all-time high of $1,228 today before settling back, and it was enough occasion late in the day for CEO Elon Musk to issue fresh taunts of the Securities and Exchange Commission.
The position of ""CEO tweet-watcher"" - a key consideration back in 2018 when the SEC sued Musk over the ""funding secured"" tweets - may be vacant again: Well into the rally today, Musk tweeted ""Tesla will make fabulous short shorts in radiant red satin with gold trim,"" an apparent callback to when he said he'd send a box of short shorts to David Einhorn.
He followed that with ""Will send some to the Shortseller Enrichment Commission to comfort them through these difficult times,"" and ""SEC, three letter acronym, middle word is Elon’s.""
See all stocks on the move »",error
"Thu, Jul. 02",Tesla revamps plan for Giga Berlin,https://seekingalpha.com/news/3588423-tesla-revamps-plan-for-giga-berlin?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:8,"Tesla's (TSLA +7.2%) plans for its German factory now exclude manufacturing batteries and plastic parts, German newspaper Sueddeutsche Zeitung reports, citing publicly available plans.
The change may be in response to environmentalists' criticism that the plant would use too much water, the newspaper said.
The new plan for the plant outside of Berlin requires about a third less water, it said.
Tesla will increase the amount of forest it clears — to 190 hectares from 155 hectares in the previous plan — apparently to allow room for a test track.
Previously: Clearing operations resume at Giga Berlin (Feb. 21)
Now read: Tesla Unit Sales Fall 5% From Last Year, Unlike GM's Heavy-Duty Pickup Trucks »",error
"Thu, Jul. 02",Tesla Q2 deliveries top 90K vs 83K estimate shares up 10,https://seekingalpha.com/news/3588220-tesla-q2-deliveries-top-90k-vs-83k-estimate-shares-up-10?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:9,"Tesla (NASDAQ:TSLA) reports 2nd quarter deliveries of 90.65K vehicles vs. estimates for 83K.
Production of 82.27K vehicles was down 20% from Q1.
The company notes that the main factory in Fremont was shut down for much of the quarter, but production has now been ramped up to prior levels.
Shares are up 9.75% premarket to $1,229.
Tesla - Can't stop, won't stop
Update at 10:25 AM ET: Reuters reports Tesla as having cut prices in China. The Model S is trimmed from 764.9K yuan to 756.9K; the Model X from 780.9K to 772.9K. Shares remain higher by 8.5%.
See all stocks on the move »",error
"Wed, Jul. 01",Some clean energy ETFs shine in brutal first half for fossil fuels,https://seekingalpha.com/news/3587797-clean-energy-etfs-shine-in-brutal-first-half-for-fossil-fuels?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:10,"The energy sector is the worst performing stock market sector in the first half, with plunging oil prices and consumer demand alongside heavy debt loads among the driving factors.
The broader Energy Select SPDR (NYSEARCA:XLE) is off 37% YTD, while the Dynamic Oil & Gas Services ETF (NYSEARCA:PXJ) is down 58%.
Some alternative energy ETFs, though, have posted strong gains since in the year's first half. The Invesco Solar Portfolio ETF (NYSEARCA:TAN) is up 17% YTD, while the Invesco Global Clean Energy ETF (NYSEARCA:PBD) is ahead 11%.
The largest holdings of TAN include:
SolarEdge Technologies (NASDAQ:SEDG): Up 48% YTD.
Enphase Energy (NASDAQ:ENPH): Up 82% YTD.
First Solar (NASDAQ:FSLR): Down 12% YTD.
The largest listed holdings of PBD include:
Enphase Energy (ENPH): Up 82% YTD.
Tesla Inc (NASDAQ:TSLA): Up 158% YTD.
TPI Composites (NASDAQ:TPIC): Up 26% YTD.
Alternative energy sources are loosely seen as competing with more traditional forms of energy, making the strong relative performance more notable.
Other energy ETFs listed by the Seeking Alpha ETF tracker in Themes & Subsectors have struggled in the first half of the year.",error
