,text,href,date,name,comments_qty
0,,https://seekingalpha.com/article/4355962-stocks-to-watch-fireworks-for-nikola-tesla-and-micron?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:1,"Today, 9:00 AM","Stocks To Watch: Fireworks For Nikola, Tesla And Micron",92 Comments
1,,https://seekingalpha.com/article/4355897-tesla-watching-q2-coronavirus-deliveries?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:2,"Yesterday, 2:05 PM",Tesla: Watching Q2 Coronavirus Deliveries,173 Comments
2,,https://seekingalpha.com/article/4355755-tesla-ignoring-quality-issues-is-no-longer-option?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:3,"Thu, Jun. 25",Tesla: Ignoring Quality Issues Is No Longer An Option,233 Comments
3,,https://seekingalpha.com/article/4355742-questions-remain-this-may-now-be-time-for-tesla-semi?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:4,"Thu, Jun. 25","Questions Remain, But This May Now Be The Time For The Tesla Semi",115 Comments
4,,https://seekingalpha.com/article/4355640-tesla-v2g-technology-dramatically-increase-demand-and-sales-of-all-models?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:5,"Thu, Jun. 25",Tesla V2G Technology Could Dramatically Increase Demand And Sales Of All Models,481 Comments
5,,https://seekingalpha.com/article/4355293-tesla-quality-issues-and-soft-demand-plague-model-y-rollout?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:6,"Wed, Jun. 24",Tesla: Quality Issues And Soft Demand Plague Model Y Rollout,526 Comments
6,,https://seekingalpha.com/article/4354413-tesla-makes-expensive-decision?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:7,"Wed, Jun. 17",Tesla Makes An Expensive Decision,664 Comments
7,,https://seekingalpha.com/article/4354297-why-tesla-is-surging-while-ford-and-gm-struggle?source=content_type:react|section:All|sectionAsset:Analysis|first_level_url:symbol|button:Title|lock_status:No|line:8,"Wed, Jun. 17",Why Tesla Is Surging While Ford And GM Struggle,643 Comments
8,,https://seekingalpha.com/news/3586613-bezos-copycat-elon-musk-comments-on-amazons-zoox-purchase?source=content_type:react|section:All|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:1,"Yesterday, 1:47 PM",Bezos a copycat - Elon Musk comments on Amazon's Zoox purchase,197 Comments
9,,https://seekingalpha.com/news/3586522-amazon-drives-autonomous-vehicle-chase-zoox-acquisition?source=content_type:react|section:All|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:2,"Yesterday, 9:42 AM",Amazon drives into autonomous vehicle chase with Zoox acquisition,94 Comments
